Date,Station_ID,DO_pct,Nitrite_mgL,Nitrate_mgL,COD_mgL,BOD_mgL,Ammonium_mgL,TP_mgL,TKN_mgL,SulfideH2S_mgL,TotalAlkalinity_mgL,Salinity_pct
2024-01-08,1,,0.02,2.8,303,129.6,31.25,28.5,32,0,362,
2024-01-08,4,,0.02,2.5,239,102.65,29.5,26.5,36,0,352,
2024-04-11,1,5.6,0.02,2.2,782,394.5,19.5,29.3,46,5,274,1
2024-04-11,2,5.6,0.02,1.9,375,196.5,17.5,23.9,46,6,326,1
2024-04-11,3,3,0.02,1.7,443,220.5,21.5,22.2,61,3,336,1
2024-04-11,4,6.2,0.02,2.5,330,169.5,22,,47,3,126,1
2024-04-15,1,11.5,0.05,4.7,397,190.5,22,,33,0,292,1
2024-04-15,2,8.3,0.03,3.5,552,271.5,23,20,29,0,270,1
2024-04-15,3,7.7,0.04,,529,262.5,18.25,,30,1,356,1
2024-04-15,4,16.7,0.13,3.6,440,229.5,16,30.6,31,1,182,1
2024-04-15,5,7.4,0.02,1.9,543,227.5,15.25,21.45,27,1,298,1
2024-04-18,1,9.3,0.03,,489,241.5,17,31.75,39,4,280,1
2024-04-18,2,9.3,0.02,2,479,238.5,15,30.35,41,6,282,1
2024-04-18,3,9.7,0.02,2.7,457,225.5,14.75,16.65,46,4,268,1
2024-04-18,4,11.4,0.02,1.3,318,160,14.25,17.4,24,2,216,1
2024-04-18,5,10.8,0.02,2.6,416,209.5,14.75,18.6,24,8,232,1
2024-04-22,1,4.9,0.01,1.6,419,204,,18.7,50,0,316,1
2024-04-22,2,14.4,0.02,5.2,123,64.65,4.2,18.9,42,0,216,1
2024-04-22,3,,0,1.5,142,71.1,4.5,24.6,42,0,204,0
2024-04-22,4,16.3,0.01,,141,70.05,5.3,19.5,45,1,200,1
2024-04-22,5,3.9,0.01,1.6,122,61.05,5.2,,41,1,218,1
2024-04-26,1,16.7,0.01,1.4,186,90.9,4.8,,28,0,166,1
2024-04-26,2,7,0.01,1.3,92,46.65,6.2,9.8,219,1,154,0
2024-04-26,3,12.7,0,1.3,216,108.3,6.5,5.19,24,0,134,0
2024-04-26,4,5.8,0.02,1.6,128,66.45,4.8,18.79,21,0,160,0
2024-04-26,5,2.3,0.01,2.4,345,172.2,6,,21,1,358,1
2024-04-29,1,7.2,0,0.2,1121,537.5,12.8,118,78,166,370,1
2024-04-29,2,9.3,0,0.6,804,334.5,14.7,30.89,15,293,222,1
2024-04-29,4,9.3,0,0.8,328,164.5,14.5,29.7,41,67,218,1
2024-04-29,5,5.6,0,0,818,394.5,13.2,62.8,40,82,288,1
2024-05-02,1,3.7,0.011,2.3,1128,564.8,22.4,58.79,260,2.75,258,0.67
2024-05-02,2,13.2,0.014,1.7,452,225.3,23.7,30.6,230,4.16,308,0.67
2024-05-02,3,4.3,0.006,1.5,553,276.6,21.2,36.3,250,2.64,310,0.68
2024-05-02,4,8.4,0.005,1.1,832,416.4,16.4,43.29,240,2.07,320,0.68
2024-05-02,5,2.7,0.003,0.4,6600,3504,11.8,12.19,240,9.83,382,0.75
2024-05-06,1,13,0.008,1.2,732,87.5,14.7,36.1,220,3.72,213,0.78
2024-05-06,2,17.6,0.003,0.9,372,180.5,15,42.19,220,5.23,328,0.76
2024-05-06,3,21.7,0.001,1.5,930,442.5,14.7,26.7,250,3.35,308,0.68
2024-05-06,4,26.8,0,0.6,345,169.5,15.3,37.1,250,2.13,316,0.69
2024-05-06,5,21.7,0,0.6,446,216.5,15.2,44.6,280,4.62,366,0.5
2024-05-09,1,2.8,0.005,0.9,1283,639.6,19.75,66.5,67,3.71,372,0.66
2024-05-09,2,2.9,0.08,1,785,391.8,13.15,29.5,37,1.63,322,0.68
2024-05-09,3,6.8,0.004,0.4,503,251.4,19.2,40.5,35,3.27,298,0.64
2024-05-09,4,13,0.001,0,441,219.6,19.4,28.2,29,1.59,296,0.6
2024-05-09,5,3.5,0,0.8,367,180.9,16.5,37.2,27,2.4,338,0.58
2024-05-13,1,6.9,0.003,0.3,313,154.2,15,27.2,17,2.65,322,0.54
2024-05-13,2,6.3,0,0.2,483,239.4,10.8,36.2,30,1.76,316,0.71
2024-05-13,3,9,0,0,1439,720,9.4,31.2,49,1.84,286,0.64
2024-05-13,4,13.4,0.002,0.6,3336,1668,7.7,38.5,12,2.96,222,0.69
2024-05-13,5,4.1,0,0,999,501,6.7,42.2,31,2.78,328,0.51
2024-05-16,1,0.38,0.028,1.8,413,205.31,19.75,64.9,31,4.94,340,0.71
2024-05-16,2,0.25,0.079,0.4,1484,721.1,26.75,207,64,11,460,0.91
2024-05-16,3,0.25,0.026,1.6,1176,602.3,25,178,64,7.38,420,0.86
2024-05-16,4,0.5,0.03,2.1,899,441.5,21,63.5,33,5.98,370,0.76
2024-05-16,5,0.31,0.021,2.5,1010,507.2,25,75.1,48,7.76,380,0.91
2024-05-20,1,3.3,0.025,2.8,785,387,13.75,69.8,40,1.35,298,0.65
2024-05-20,2,3.5,0.023,3.2,2390,1207.5,15.5,238,99,7.15,730,0.9
2024-05-20,3,4.1,0.025,2.6,3940,,17.5,237,112,10.95,795,2.25
2024-05-20,4,4.8,0.013,4.1,930,471.1,8,55.1,8,3.02,490,0.71
2024-05-20,5,8.9,0.018,3.2,5425,1701,26.5,388,485,15.02,930,0.61
2024-05-23,1,5.5,0.02,0.8,1210,609,12.9,166.2,32,4.47,510,0.63
2024-05-23,2,6.6,0.007,1.2,1850,921,13.6,176.7,104,7.22,540,0.65
2024-05-23,3,3.2,0.004,1.4,7450,3720,15.4,397.5,280,29.65,1600,2.83
2024-05-23,4,6.3,0.012,1.1,587,294,9.4,33.2,15,1.73,360,0.58
2024-05-23,5,4.6,0.01,3.5,782,385.5,11.9,33.5,30,2.9,370,0.51
2024-05-27,1,5.6,0.005,1.4,283,141.6,16.2,40.3,26,0.36,360,1
2024-05-27,2,4.9,0.003,0.7,949,474.6,17.3,52.5,42,2.9,405,1.01
2024-05-27,3,4.7,0.002,3.4,446,223.2,16.7,42.2,31,0.153,195,0.87
2024-05-27,4,4.6,0.004,5.1,550,275.4,16.5,41.3,36,0.257,16.5,0.91
2024-05-27,5,4,0.003,0.5,431,215.1,16.3,40.6,31,0.213,355,0.91
2024-05-30,1,3.2,0.01,0.3,2370,1176,8.75,117.5,60,2.8,395,0.74
2024-05-30,2,3.1,0.007,0,1665,825,7.13,99.8,20,1.2,315,0.81
2024-05-30,3,15,0.022,1.3,3210,1602,10.75,258,100,8,545,1.01
2024-05-30,4,3.7,0.014,1,3113,1551,9.05,119,90,5.98,410,0.83
2024-05-30,5,0.21,0.01,0,228,1137,8.25,109,50,1.98,390,0.92
2024-06-06,1,1.9,0.001,0,2360,1167,7.6,115,55.75,2.6,380,2.1
2024-06-06,2,3,0.007,0,1642,820.5,5.8,94.1,17,1.08,310,1.8
2024-06-06,3,3.7,0.01,1,3180,1590,7.6,242,98,5.81,536,2.2
2024-06-06,4,2.5,0.009,0.7,3110,1548,6.5,90.5,88,5.95,408,1.6
2024-06-06,5,1.5,0.01,0,1620,810,5.55,106,46,1.96,386,1.1
2024-06-10,1,1.9,0.009,0.3,2280,1140,8.2,116,60,2.43,386,1.59
2024-06-10,2,1.7,0.007,0,1617,809,6.54,94,17,1.19,309,1.49
2024-06-10,3,2.1,0.019,1.1,3080,1540,9.98,247,95,7.86,532,1.52
2024-06-10,4,0.6,0.11,0.9,3095,1548,10.5,107,86,5.87,403,2.36
2024-06-10,5,0.5,0.007,0,2176,1088,8.13,106,43,1.78,384,0.56
2024-06-13,1,2.7,0.007,0,2150,1079,8.14,113,57,2.6,391,0.7
2024-06-13,2,1.6,0.003,0,1610,806,7.04,94.7,19,1.16,311,0.8
2024-06-13,3,1.8,0.018,0.5,3126,1563,10.16,251,93,7.73,539,0.92
2024-06-13,4,2.8,0.009,0.1,3060,1530,9.1,112,89,5.94,404,1.1
2024-06-13,5,8,0.006,0,2184,1092,8.18,107,48,1.86,288,1.48
2024-06-17,1,6.6,0.002,0,1064,542,4.2,55,29,1.4,194,1.56
2024-06-17,2,3.6,0,0,824,412,3.48,48.9,14,0.86,141,1.85
2024-06-17,3,3.7,0.004,0,1586,793,5.12,123,49,4.3,268,2.31
2024-06-17,4,3.7,0.004,0,1490,745,4.12,58,43,2.54,203,2.31
2024-06-17,5,3.8,0.002,0,1126,563,4.1,52,24,1.1,183,3.85
2024-06-24,1,,7,0,2450,1225,,119.4,60,,397,1.8
2024-06-24,2,3,4,0,1840,920,7.49,105.3,22,1.34,318,2
2024-06-24,3,,17,0.9,3410,1705,10.85,263,1.04,8.21,548,2.1
2024-06-24,4,2.6,0.011,0.4,3380,1690,9.7,123,92,6.03,416,1.7
2024-06-24,5,1.2,0.007,0,2270,1135,8.52,113,52,2.12,396,1.5
2024-07-01,1,6.1,0.008,0.2,2515,1255,9.12,8.603,58,2.94,396,2.3
2024-07-01,2,2.1,0.006,0,1880,937,7.36,102.4,21,1.32,314,1.6
2024-07-01,3,1.7,0.008,1.9,3495,1751,10.22,260,98,8.16,542,1.72
2024-07-01,4,2.5,0.012,1,3150,1584,9.14,118,90,7.98,406,2.35
2024-07-01,5,2.1,0.007,0,2310,1146,8.57,112,54,2.08,394,2.8
2024-07-08,1,4.1,0.0017,0.9,2610,1305,9.04,119.59,57,2.88,389,1.18
2024-07-08,2,2.7,0.013,0,1950,975,7.4,102.7,20,1.3,309,0.89
2024-07-08,3,5.6,0.009,0.3,3460,1730,10,258,95,8.11,536,0.88
2024-07-08,4,1.5,0.006,0.1,2980,1490,9.21,116,91,7.98,409,0.85
2024-07-08,5,2.8,0.001,0,2530,1265,8.46,109,51,2.03,397,0.84
2024-07-15,1,2.2,0.013,0.5,2360,1180,8.96,118.4,55,2.83,381,0.8
2024-07-15,3,4.5,0.007,0.2,3240,1620,9.62,254,93,8.07,529,0.82
2024-07-15,4,3.7,0.005,0.1,2860,1430,9.18,112,90,7.84,402,0.85
2024-07-22,1,1.8,0.015,1.3,2275,1365,9.02,119.3,57,2.87,387,1.4
2024-07-22,3,3.2,0.01,1,3345,1689,9.86,257,95,8.1,534,1.5
2024-07-22,4,2.2,0.007,1.1,2998,1503,9.2,114,91,7.96,418,1.2
2024-07-29,1,2,0.011,0.9,1540,774,8.62,54.4,52,2.52,371,3.42
2024-07-29,3,17.3,0.008,0.7,1500,750,9.04,65.6,84,7.4,497,5.54
2024-07-29,4,24.3,0.009,0.9,909,445.2,8.84,36.8,83,7.63,396,6.62
2024-08-05,1,8.3,0.009,0.8,1580,790.5,8.89,56.8,55,2.96,373,1.45
2024-08-05,3,5.6,0.007,0.8,1570,786,9.21,72,86,8.16,502,1.42
2024-08-05,4,4.7,0.008,1,1240,621,8.95,38,85,8.29,400,1.15
2024-08-12,1,,0.007,0.7,1740,861,8.91,57.1,56,2.83,375,1.38
2024-08-12,3,6.8,0.008,0.9,1860,957,9.23,72.2,88,7.9,502,1.39
2024-08-12,4,4.2,0.008,1.1,1346,687,8.63,38.3,87,7.8,399,1.17
2024-08-19,1,2.7,0.005,0.006,1416,708,8.86,56.4,51,2.72,368,1.06
2024-08-19,3,3.1,0.006,0.07,1620,810,9.18,71.4,83,7.1,409,1.19
2024-08-19,4,2.2,0.009,1.4,1528,759,9.1,19.1,89,7.92,404,1.2
2024-08-26,1,3.3,0.006,0.7,1489,744,8.89,5.6,52,3.74,370,1.61
2024-08-26,3,2.4,0.005,0.8,1512,756,9.13,70.9,81,7,492,1.2
2024-08-26,4,2,0.007,1,1416,708,8.96,8.1,86,7.82,398,1.09
2024-09-02,1,,8,0.9,1675,838,8.92,56.9,55,3.77,374,1.13
2024-09-02,3,,7,,1645,823,9.16,71.1,84,,495,1.56
2024-09-02,4,,,9,1565,783,8.99,,88,7.83,400,1.19
2024-09-23,1,2.8,0.006,0.6,1405,703,8.88,8.44,51,3.79,372,0.78
2024-09-23,3,0.17,0.008,0.6,1390,695.03,9.03,54.1,86,7.8,482,1
2024-09-23,4,0.24,0.008,0.7,1476,738,8.95,15,89,7.8,369,1.27
2024-09-30,1,7.8,0.004,0.6,1400,700.13,8.86,56.4,49,3.7,370,0.78
2024-09-30,3,22.5,0.006,0.6,1388,694.13,9.01,65,84,7.6,480,1.7
2024-09-30,4,4,0.006,0.8,1474,737.03,8.96,18.1,86,7.9,394,4.44
2024-10-07,1,1.7,0.008,0.9,1522,761.03,8.93,56.9,56,3.78,378,1.55
2024-10-07,3,0.21,0.007,0.9,1389,695.03,9.02,56.3,85,7.8,482,1.54
2024-10-07,4,0.5,0.007,0.9,1477,739.13,8.95,18.4,89,7.9,369,1.32
2024-10-14,1,0.23,6,0.6,1510,755.03,8.89,56.6,54,3.76,375,0.81
2024-10-14,3,0.18,9,1,1395,698.1,,65.6,88,,484,0.88
2024-10-14,4,0.19,9,,1480,740.1,8.99,,92,7.92,399,1
2024-10-21,1,1.81,0.009,,1525,762.5,8.92,57.1,57,,379,9.41
2024-10-21,3,1.08,0.011,1.2,1400,700.02,9.06,65.9,90,8,486,9.85
2024-10-21,4,1.15,0.012,1.03,1485,742.5,9.1,18.9,94,7.95,400,10.12
2024-10-28,1,0.54,0.006,0.6,1508,754.02,8.92,56.79,56,3.75,377,1.44
2024-10-28,3,0.51,0.009,0.9,1390,695.1,9.01,65.6,86,7.7,482,1.44
2024-10-28,4,0.43,0.008,0.9,1478,739.02,8.98,18.6,91,7.91,398,1.11
2024-11-05,1,0.61,0.009,1.2,1520,760.02,8.91,57.2,57,3.9,378,0.78
2024-11-05,3,0.32,0.011,1.2,1398,699.02,9.05,65.7,89,7.8,485,1.7
2024-11-05,4,0.31,0.01,1.1,1483,741.06,9,18.8,93,7.94,399,4.44
2024-11-19,1,0.55,0.005,0.4,1504,752.1,8.92,56.9,56,3.72,376,0.74
2024-11-19,3,0.43,0.009,1.1,1388,694.02,9,65.8,88,3.72,485,1.9
2024-11-19,4,0.39,0.01,1,1479,739.06,8.96,18.7,92,7.92,397,4.13
2025-01-14,1,0.28,0.01,0.9,707,353.63,6.4,5.53,2.77,2.3,250,0.67
2025-01-14,3,0.35,0.007,0.6,1109,552.5,7.8,5.64,4.88,14,420,0.66
2025-01-14,4,0.24,0.009,0.6,4160,1105,8.12,13.8,8.12,14,320,0.83
2025-01-28,1,0.37,0.012,1.5,794,791.25,6.8,12.5,4.5,32,208,0.69
2025-01-28,3,0.26,0.009,1.4,1485,741.75,8.4,10.2,4.98,20,460,0.73
2025-01-28,4,0.22,0.008,3.3,1493,735.75,8.2,15.8,5.2,47,334,0.79
2025-02-10,1,4.39,0.021,0.9,347,169.65,5.2,5.5,2.2,250,220,0.68
2025-02-10,3,3.09,0.038,0.9,965,452.63,16.2,12.19,4.2,189,422,0.72
2025-02-10,4,1.22,0.098,1.5,1188,583.5,7.2,14.6,5.1,396,310,0.73
2025-03-17,1,0.6,0.014,0.8,659,329.1,5.8,11.65,14,300,240,1.2
2025-03-17,3,0.51,0.014,1.3,1499,749.25,8.2,11,15.4,296,245,1.2
2025-03-17,4,0.32,0.026,1.3,1624,812.25,8.4,11.4,12.1,115,340,4.1
2025-05-12,1,8.14,0.012,0.7,560,286.5,4.9,10.2,13.1,20.718,280,0.9
2025-05-12,3,14.149,0.013,1.2,1230,667.5,8.1,10.7,15,22.312,293,0.79
2025-05-12,4,6.5,0.002,1.2,1589,793.5,8.9,11.2,16.2,21.037,301,0.7
2025-06-02,1,6.7,0.006,0.4,422,208.75,2.7,9.66,6.5,5.313,180,3.24
2025-06-02,3,7.5,0.007,1,612,301.5,6.2,13.1,11.5,5.525,260,2.55
2025-06-02,4,10.9,0.001,1,871,429.38,6.8,16.1,12.6,5.525,280,1.83
